k,k_over_b,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21
-1.134101912291751169e-01,-1.804979253112033444e-01,-8.075385886986034166e+04,-6.989423046714812517e+04,-5.259372782814598031e+04,-4.390602747615471162e+04,-3.045008346402324969e+04,-2.393430942131649135e+04,-1.432293569785428190e+04,-9.979091855885590121e+03,-4.212364570932310016e+03,-2.040466989722780454e+03,-1.184730441253679629e+02,4.110737752095861879e+02,1.250821550454446196e+03,5.588201602670499597e+03,8.106128367516847902e+03,1.678179914288071450e+04,2.097835655593029151e+04,3.399192111807353649e+04,3.986710326108702429e+04,5.721853423708563787e+04,6.477234136523035704e+04,8.646163191400530923e+04
-1.108030603963205130e-01,-1.763485477178423355e-01,-8.062458131338641397e+04,-7.001459947663063940e+04,-5.248941494022716506e+04,-4.400143181168325100e+04,-3.037073526155464788e+04,-2.400474906589182137e+04,-1.426855226786015191e+04,-1.002456669136769233e+04,-4.182946875773530337e+03,-2.060976240302112728e+03,-1.140154748502990572e+02,4.021291884967891974e+02,1.266831643236001128e+03,5.554289526309959911e+03,8.147109341787183439e+03,1.672292201142552221e+04,2.104430252833890700e+04,3.390807926375007810e+04,3.995801394855989929e+04,5.710972770635770576e+04,6.488821672791297897e+04,8.632786071524160798e+04
-1.081959295634659091e-01,-1.721991701244813266e-01,-8.049540734472815529e+04,-7.013507207392189594e+04,-5.238520564016310527e+04,-4.409693973507599003e+04,-3.029149064707689467e+04,-2.407529229850358388e+04,-1.421427242668194413e+04,-1.007014511602934726e+04,-4.153632782328259964e+03,-2.081589085389047796e+03,-1.096614840255007124e+02,3.932880434542601620e+02,1.282945475335252240e+03,5.520481041728046876e+03,8.188193907463267351e+03,1.666414846829231101e+04,2.111035208899175268e+04,3.382434099734546180e+04,4.004902822393942188e+04,5.700102476346655749e+04,6.500419567842741526e+04,8.619419310428295285e+04
-1.055887987306113052e-01,-1.680497925311203455e-01,-8.036633696388598764e+04,-7.025564825902195298e+04,-5.228109992795413564e+04,-4.419255124633284868e+04,-3.021234962059122336e+04,-2.414593911915030185e+04,-1.416009617432826599e+04,-1.011582712985870239e+04,-4.124422290782575146e+03,-2.102305524840524868e+03,-1.054110737138167906e+02,3.845503530422094514e+02,1.299163035898680619e+03,5.486776148958996600e+03,8.229382064505653034e+03,1.660547851348491531e+04,2.117650523788565624e+04,3.374070631886048068e+04,4.014014608722521371e+04,5.689242540841265145e+04,6.512027821677344036e+04,8.606062908112921286e+04
-1.029816678977567013e-01,-1.639004149377593367e-01,-8.023737017085970729e+04,-7.037632803193047585e+04,-5.217709780360040895e+04,-4.428826634545336128e+04,-3.013331218209854342e+04,-2.421668952783061832e+04,-1.410602351080789776e+04,-1.016161273284396702e+04,-4.095315401325181028e+03,-2.123125558526508939e+03,-1.012642459054119115e+02,3.759161288799550107e+02,1.315484315355893386e+03,5.453174848037232550e+03,8.270673812875340445e+03,1.654691214700722412e+04,2.124276197501771821e+04,3.365717522829553491e+04,4.023136753841661266e+04,5.678392964119595126e+04,6.523646434295113431e+04,8.592716864578059176e+04
-1.003745370649021251e-01,-1.597510373443983833e-01,-8.010850696564960526e+04,-7.049711139264766825e+04,-5.207319926710231084e+04,-4.438408503243737505e+04,-3.005437833160020818e+04,-2.428754352454303444e+04,-1.405205443612952149e+04,-1.020750192497364333e+04,-4.066312114147385273e+03,-2.144049186328958058e+03,-9.722100251844341301e+01,3.673853814194084748e+02,1.331909305245977976e+03,5.419677138997394650e+03,8.312069152534049863e+03,1.648844936886300275e+04,2.130912230038481721e+04,3.357374772565156309e+04,4.032269257751310943e+04,5.667553746181666793e+04,6.535275405696010421e+04,8.579381179823697312e+04
-9.776740623204752123e-02,-1.556016597510373745e-01,-7.997974734825547785e+04,-7.061799834117334103e+04,-5.196940431846005959e+04,-4.448000730728446069e+04,-2.997554806909723629e+04,-2.435850110928619688e+04,-1.399818895030202111e+04,-1.025349470623613888e+04,-4.037412429443113069e+03,-2.165076408140908825e+03,-9.328134539993442331e+01,3.589581200921624031e+02,1.348437998070500953e+03,5.386283021874269252e+03,8.353568083443811702e+03,1.643009017905607470e+04,2.137558621398402465e+04,3.349042381092894357e+04,4.041412120451414376e+04,5.656724887027503428e+04,6.546914735880053195e+04,8.566055853849844425e+04
-9.516027539919291733e-02,-1.514522821576763656e-01,-7.985109131867776159e+04,-7.073898887750759604e+04,-5.186571295767395350e+04,-4.457603316999428353e+04,-2.989682139459072641e+04,-2.442956228205863590e+04,-1.394442705333442609e+04,-1.029959107662006863e+04,-4.008616347408945330e+03,-2.186207223865646938e+03,-8.944527632670875050e+01,3.506343534349199444e+02,1.365070387168090519e+03,5.352992496702834615e+03,8.395170605567194798e+03,1.637183457759053636e+04,2.144215371581235013e+04,3.340720348412844760e+04,4.050565341941927909e+04,5.645906386657121766e+04,6.558564424847184273e+04,8.552740886656500516e+04
-9.255314456633831344e-02,-1.473029045643153567e-01,-7.972253887691615091e+04,-7.086008300165017135e+04,-5.176212518474416720e+04,-4.467216262056666164e+04,-2.981819830808197366e+04,-2.450072704285901636e+04,-1.389076874523574224e+04,-1.034579103611420578e+04,-3.979923868244261485e+03,-2.207441633415880915e+03,-8.571279700635058418e+01,3.424140891968099254e+02,1.381806466607300536e+03,5.319805563518227245e+03,8.436876718867339150e+03,1.631368256447013846e+04,2.150882480586683232e+04,3.332408674525074457e+04,4.059728922222788242e+04,5.635098245070530538e+04,6.570224472597430577e+04,8.539436278243677225e+04
-8.994601373348370954e-02,-1.431535269709543756e-01,-7.959409002297099505e+04,-7.098128071360105241e+04,-5.165864099967111542e+04,-4.476839565900119487e+04,-2.973967880957203670e+04,-2.457199539168591946e+04,-1.383721402601517184e+04,-1.039209458470733807e+04,-3.951334992151130791e+03,-2.228779636712987212e+03,-8.208390907821969051e+01,3.342973344316367843e+02,1.398646231094752238e+03,5.286722222355834674e+03,8.478686423307764926e+03,1.625563413969899557e+04,2.157559948414465907e+04,3.324107359429639473e+04,4.068902861293939350e+04,5.624300462267766125e+04,6.581894879130741174e+04,8.526142028611377464e+04
-8.733888290062910564e-02,-1.390041493775933668e-01,-7.946574475684242498e+04,-7.110258201336028287e+04,-5.155526040245498007e+04,-4.486473228529760672e+04,-2.966126289906210150e+04,-2.464336732853797730e+04,-1.378376289568190259e+04,-1.043850172238842606e+04,-3.922849719334395104e+03,-2.250221233686339929e+03,-7.855861411457532029e+01,3.262840955773920655e+02,1.415589675895986829e+03,5.253742473251121737e+03,8.520599718852519800e+03,1.619768930328110582e+04,2.164247775064283269e+04,3.315816403126621299e+04,4.078087159155336849e+04,5.613513038248827070e+04,6.593575644447137893e+04,8.512858137759595411e+04
-8.473175206777450175e-02,-1.348547717842323579e-01,-7.933750307853023696e+04,-7.122398690092780453e+04,-5.145198339309591393e+04,-4.496117249945562071e+04,-2.958295057655333585e+04,-2.471484285341380019e+04,-1.373041535424528774e+04,-1.048501244914650124e+04,-3.894468050001737538e+03,-2.271766424272614586e+03,-7.513691362157243248e+01,3.183743785252577254e+02,1.432636796767112173e+03,5.220866316239733351e+03,8.562616605466089823e+03,1.613984805522044189e+04,2.170945960535856648e+04,3.307535805616065772e+04,4.087281815806927625e+04,5.602735973013729381e+04,6.605266768546578533e+04,8.499584605688347074e+04
-8.212462123491992561e-02,-1.307053941908714045e-01,-7.920936498803460563e+04,-7.134549537630348641e+04,-5.134880997159441904e+04,-4.505771630147490941e+04,-2.950474184204699486e+04,-2.478642196631213665e+04,-1.367717140171485153e+04,-1.053162676497074426e+04,-3.866189984363734311e+03,-2.293415208415165580e+03,-7.181880904065666016e+01,3.105681886790869157e+02,1.449787589895606970e+03,5.188093751357523615e+03,8.604737083113428525e+03,1.608211039552124021e+04,2.177654504828896461e+04,3.299265566898052202e+04,4.096486831248652743e+04,5.591969266562509438e+04,6.616968251429063093e+04,8.486321432397628087e+04
-7.951749040206532171e-02,-1.265560165975103957e-01,-7.908133048535577836e+04,-7.146710743948737218e+04,-5.124574013795067003e+04,-4.515436369135520363e+04,-2.942663669554419175e+04,-2.485810466723152786e+04,-1.362403103810005632e+04,-1.057834466985034305e+04,-3.838015522633867477e+03,-2.315167586063424096e+03,-6.860430174949692628e+01,3.028655310079414562e+02,1.467042051848998653e+03,5.155424778640449404e+03,8.646961151759918721e+03,1.602447632418745525e+04,2.184373407943124039e+04,3.291005686972654803e+04,4.105702205480467819e+04,5.581212918895175244e+04,6.628680093094581389e+04,8.473068617887445726e+04
-7.691035956921071781e-02,-1.224066390041494007e-01,-7.895339957049374061e+04,-7.158882309047917079e+04,-5.114277389216487063e+04,-4.525111466909622686e+04,-2.934863513704619982e+04,-2.492989095617071143e+04,-1.357099426341060280e+04,-1.062516616377472928e+04,-3.809944665028632699e+03,-2.337023557172407436e+03,-6.549339306350154288e+01,2.952664100911783862e+02,1.484400179529942079e+03,5.122859398124647669e+03,8.689288811371430711e+03,1.596694584122343804e+04,2.191102669878259258e+04,3.282756165839930327e+04,4.114927938502320467e+04,5.570466930011738441e+04,6.640402293543104315e+04,8.459826162157804356e+04
